b,book_eng,book_th,t_x,g,type,id,c,v,bible_eng,bible_th,word_count
40,Matthew,มัทธิว,NT,5,Gospels,40001001,1,1,"The book of the generation of Jesus Christ, the son of David, the son of Abraham.",หนังสือลำดับพงศ์พันธุ์ของพระเยซูคริสต์ ผู้เป็นเชื้อสายของดาวิด ผู้สืบตระกูลเนื่องมาจากอับราฮัม,94
40,Matthew,มัทธิว,NT,5,Gospels,40001002,1,2,Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;,อับราฮัมให้กำเนิดบุตรชื่ออิสอัค อิสอัคให้กำเนิดบุตรชื่อยาโคบ ยาโคบให้กำเนิดบุตรชื่อยูดาห์และพี่น้องของเขา,105
40,Matthew,มัทธิว,NT,5,Gospels,40001003,1,3,And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;,ยูดาห์ให้กำเนิดบุตรชื่อเปเรศกับเศ-ราห์เกิดจากนางทามาร์ เปเรศให้กำเนิดบุตรชื่อเฮสโรน เฮสโรนให้กำเนิดบุตรชื่อราม,110
40,Matthew,มัทธิว,NT,5,Gospels,40001004,1,4,And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;,รามให้กำเนิดบุตรชื่ออัมมีนาดับ อัมมีนาดับให้กำเนิดบุตรชื่อนาโชน นาโชนให้กำเนิดบุตรชื่อสัลโมน,92
40,Matthew,มัทธิว,NT,5,Gospels,40001005,1,5,And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;,สัลโมนให้กำเนิดบุตรชื่อโบอาสเกิดจากนางราหับ โบอาสให้กำเนิดบุตรชื่อโอเบดเกิดจากนางรูธ โอเบดให้กำเนิดบุตรชื่อเจสซี,112
40,Matthew,มัทธิว,NT,5,Gospels,40001006,1,6,And Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias;,เจสซีให้กำเนิดบุตรชื่อดาวิดผู้เป็นกษัตริย์ ดาวิดผู้เป็นกษัตริย์ให้กำเนิดบุตรชื่อซาโลมอน เกิดจากนางซึ่งแต่ก่อนเป็นภรรยาของอุรียาห์,129
40,Matthew,มัทธิว,NT,5,Gospels,40001007,1,7,And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;,ซาโลมอนให้กำเนิดบุตรชื่อเรโหโบอัม เรโหโบอัมให้กำเนิดบุตรชื่ออาบียาห์ อาบียาห์ให้กำเนิดบุตรชื่ออาสา,98
40,Matthew,มัทธิว,NT,5,Gospels,40001008,1,8,And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;,อาสาให้กำเนิดบุตรชื่อเยโฮชาฟัท เยโฮชาฟัทให้กำเนิดบุตรชื่อเยโฮรัม เยโฮรัมให้กำเนิดบุตรชื่ออุสซียาห์,98
40,Matthew,มัทธิว,NT,5,Gospels,40001009,1,9,And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;,อุสซียาห์ให้กำเนิดบุตรชื่อโยธาม โยธามให้กำเนิดบุตรชื่ออาหัส อาหัสให้กำเนิดบุตรชื่อเฮเซคียาห์,92
40,Matthew,มัทธิว,NT,5,Gospels,40001010,1,10,And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;,เฮเซคียาห์ให้กำเนิดบุตรชื่อมนัสเสห์ มนัสเสห์ให้กำเนิดบุตรชื่ออาโมน อาโมนให้กำเนิดบุตรชื่อโยสิยาห์,97
40,Matthew,มัทธิว,NT,5,Gospels,40001011,1,11,"And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:",โยสิยาห์ให้กำเนิดบุตรชื่อเยโคนิยาห์กับพวกพี่น้องของเขา เกิดเมื่อคราวพวกเขาต้องถูกกวาดไปเป็นเชลยยังกรุงบาบิโลน,109
40,Matthew,มัทธิว,NT,5,Gospels,40001012,1,12,"And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;",หลังจากพวกเขาต้องถูกกวาดไปยังกรุงบาบิโลนแล้ว เยโคนิยาห์ก็ให้กำเนิดบุตรชื่อเซลาทิเอล เซลาทิเอลให้กำเนิดบุตรชื่อเศรุบบาเบล,120
40,Matthew,มัทธิว,NT,5,Gospels,40001013,1,13,And Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;,เศรุบบาเบลให้กำเนิดบุตรชื่ออาบีอูด อาบีอูดให้กำเนิดบุตรชื่อเอลีอาคิม เอลีอาคิมให้กำเนิดบุตรชื่ออาซอร์,101
40,Matthew,มัทธิว,NT,5,Gospels,40001014,1,14,And Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;,อาซอร์ให้กำเนิดบุตรชื่อศาโดก ศาโดกให้กำเนิดบุตรชื่ออาคิม อาคิมให้กำเนิดบุตรชื่อเอลีอูด,86
40,Matthew,มัทธิว,NT,5,Gospels,40001015,1,15,And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;,เอลีอูดให้กำเนิดบุตรชื่อเอเลอาซาร์ เอเลอาซาร์ให้กำเนิดบุตรชื่อมัทธาน มัทธานให้กำเนิดบุตรชื่อยาโคบ,97
40,Matthew,มัทธิว,NT,5,Gospels,40001016,1,16,"And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.",ยาโคบให้กำเนิดบุตรชื่อโยเซฟ สามีของนางมารีย์ พระเยซูที่เรียกว่าพระคริสต์ก็ทรงบังเกิดมาจากนางมารีย์,98
40,Matthew,มัทธิว,NT,5,Gospels,40001017,1,17,So all the generations from Abraham to David are fourteen generations; and from David until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon unto Christ are fourteen generations.,ดังนั้น ตั้งแต่อับราฮัมลงมาจนถึงดาวิดจึงเป็นสิบสี่ชั่วคน และนับตั้งแต่ดาวิดลงมาจนถึงต้องถูกกวาดไปเป็นเชลยยังกรุงบาบิโลนเป็นเวลาสิบสี่ชั่วคน และนับตั้งแต่ต้องถูกกวาดไปเป็นเชลยยังกรุงบาบิโลนจนถึงพระคริสต์เป็นสิบสี่ชั่วคน,218
40,Matthew,มัทธิว,NT,5,Gospels,40001018,1,18,"Now the birth of Jesus Christ was on this wise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Ghost.",เรื่องพระกำเนิดของพระเยซูคริสต์เป็นดังนี้ คือมารีย์ผู้เป็นมารดาของพระเยซูนั้น เดิมโยเซฟได้สู่ขอหมั้นกันไว้แล้ว ก่อนที่จะได้อยู่กินด้วยกันก็ปรากฏว่า มารีย์มีครรภ์แล้วด้วยเดชพระวิญญาณบริสุทธิ์,190
40,Matthew,มัทธิว,NT,5,Gospels,40001019,1,19,"Then Joseph her husband, being a just man, and not willing to make her a publick example, was minded to put her away privily.",แต่โยเซฟสามีของเธอเป็นคนชอบธรรม ไม่พอใจที่จะแพร่งพรายความเป็นไปของเธอ หมายจะถอนหมั้นเสียลับๆ,92
