b,book_eng,book_th,t_x,g,type,id,c,v,bible_eng,bible_th,word_count
18,Job,โยบ,OT,3,Wisdom,18001001,1,1,"There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and eschewed evil.",มีชายคนหนึ่งในแผ่นดินอูส ชื่อโยบ ชายคนนั้นเป็นคนดีรอบคอบและเที่ยงธรรม เป็นผู้เกรงกลัวพระเจ้าและหันเสียจากความชั่วร้าย,117
18,Job,โยบ,OT,3,Wisdom,18001002,1,2,And there were born unto him seven sons and three daughters.,ท่านให้กำเนิดบุตรชายเจ็ดคนและบุตรสาวสามคน,41
18,Job,โยบ,OT,3,Wisdom,18001003,1,3,"His substance also was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she asses, and a very great household; so that this man was the greatest of all the men of the east.",ส่วนสัตว์เลี้ยงของท่าน มีแกะเจ็ดพันตัว อูฐสามพันตัว วัวห้าร้อยคู่ และลาตัวเมียห้าร้อยตัว และท่านมีคนใช้มากมาย ดังนั้นชายผู้นี้จึงใหญ่โตที่สุดในบรรดาชาวตะวันออก,159
18,Job,โยบ,OT,3,Wisdom,18001004,1,4,"And his sons went and feasted in their houses, every one his day; and sent and called for their three sisters to eat and to drink with them.",บุตรชายของท่านเคยจัดการเลี้ยงในบ้านของแต่ละคนตามวันกำหนดของตน เขาจะใช้ให้ไปเชิญน้องสาวทั้งสามคนของเขามารับประทานและดื่มกับเขาด้วย,129
18,Job,โยบ,OT,3,Wisdom,18001005,1,5,"And it was so, when the days of their feasting were gone about, that Job sent and sanctified them, and rose up early in the morning, and offered burnt offerings according to the number of them all: for Job said, It may be that my sons have sinned, and cursed God in their hearts. Thus did Job continually.","และเมื่อการเลี้ยงเวียนครบรอบแล้ว โยบจะใช้ให้ไปทำพิธีชำระตัวเขาทั้งหลายให้บริสุทธิ์ และท่านจะตื่นแต่เช้ามืด ถวายเครื่องเผาบูชาตามจำนวนของเขาทั้งหมด เพราะโยบกล่าวว่า ""ชะรอยบุตรชายของข้าพเจ้าได้กระทำบาป และแช่งพระเจ้าอยู่ในใจของเขา"" โยบกระทำดังนี้เรื่อยมา",252
18,Job,โยบ,OT,3,Wisdom,18001006,1,6,"Now there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them.",อยู่มาวันหนึ่ง เมื่อบุตรชายทั้งหลายของพระเจ้ามารายงานตัวต่อพระพักตร์พระเยโฮวาห์ ซาตานได้มาในหมู่เขาด้วย,103
18,Job,โยบ,OT,3,Wisdom,18001007,1,7,"And the LORD said unto Satan, Whence comest thou? Then Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.","พระเยโฮวาห์ตรัสถามซาตานว่า ""เจ้ามาจากไหน"" ซาตานทูลตอบพระเยโฮวาห์ว่า ""จากไปๆมาๆอยู่บนแผ่นดินโลก และจากเดินขึ้นเดินลงบนนั้น""",122
18,Job,โยบ,OT,3,Wisdom,18001008,1,8,"And the LORD said unto Satan, Hast thou considered my servant Job, that there is none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil?","และพระเยโฮวาห์ตรัสกับซาตานว่า ""เจ้าได้ไตร่ตรองดูโยบผู้รับใช้ของเราหรือไม่ ว่าในแผ่นดินโลกไม่มีใครเหมือนเขา เป็นคนดีรอบคอบและเที่ยงธรรม เกรงกลัวพระเจ้าและหันเสียจากความชั่วร้าย""",176
18,Job,โยบ,OT,3,Wisdom,18001009,1,9,"Then Satan answered the LORD, and said, Doth Job fear God for nought?","แล้วซาตานทูลตอบพระเยโฮวาห์ว่า ""โยบยำเกรงพระเจ้าเปล่าๆหรือ",57
18,Job,โยบ,OT,3,Wisdom,18001010,1,10,"Hast not thou made an hedge about him, and about his house, and about all that he hath on every side? thou hast blessed the work of his hands, and his substance is increased in the land.",พระองค์มิได้ทรงกั้นรั้วต้นไม้รอบตัวเขา และครัวเรือนของเขา และทุกสิ่งที่เขามีอยู่เสียทุกด้านหรือ พระองค์ได้ทรงอำนวยพระพรงานน้ำมือของเขา และฝูงสัตว์ของเขาได้ทวีขึ้นในแผ่นดิน,171
18,Job,โยบ,OT,3,Wisdom,18001011,1,11,"But put forth thine hand now, and touch all that he hath, and he will curse thee to thy face.","แต่ขอยื่นพระหัตถ์เถิด และแตะต้องสิ่งของทั้งสิ้นที่เขามีอยู่ และเขาจะแช่งพระองค์ต่อพระพักตร์พระองค์""",99
