id,book_eng,chapter,verse,bible_eng
1001001,Genesis,1,1,In the beginning God created the heaven and the earth.
1001002,Genesis,1,2,"And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters."
1001003,Genesis,1,3,"And God said, Let there be light: and there was light."
1001004,Genesis,1,4,"And God saw the light, that it was good: and God divided the light from the darkness."
1001005,Genesis,1,5,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day."
1001006,Genesis,1,6,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters."
1001007,Genesis,1,7,"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so."
1001008,Genesis,1,8,And God called the firmament Heaven. And the evening and the morning were the second day.
1001009,Genesis,1,9,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so."
1001010,Genesis,1,10,And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.
1001011,Genesis,1,11,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so."
1001012,Genesis,1,12,"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good."
1001013,Genesis,1,13,And the evening and the morning were the third day.
1001014,Genesis,1,14,"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:"
1001015,Genesis,1,15,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.
1001016,Genesis,1,16,"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also."
1001017,Genesis,1,17,"And God set them in the firmament of the heaven to give light upon the earth,"
1001018,Genesis,1,18,"And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good."
1001019,Genesis,1,19,And the evening and the morning were the fourth day.
1001020,Genesis,1,20,"And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven."
1001021,Genesis,1,21,"And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good."
1001022,Genesis,1,22,"And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth."
1001023,Genesis,1,23,And the evening and the morning were the fifth day.
1001024,Genesis,1,24,"And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so."
1001025,Genesis,1,25,"And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good."
1001026,Genesis,1,26,"And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth."
1001027,Genesis,1,27,"So God created man in his own image, in the image of God created he him; male and female created he them."
1001028,Genesis,1,28,"And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth."
1001029,Genesis,1,29,"And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat."
1001030,Genesis,1,30,"And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so."
1001031,Genesis,1,31,"And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day."
1002001,Genesis,2,1,"Thus the heavens and the earth were finished, and all the host of them."
1002002,Genesis,2,2,And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.
1002003,Genesis,2,3,"And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made."
1002004,Genesis,2,4,"These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,"
