b,book_eng,book_th,t_x,g,type,id,c,v,bible_eng,bible_th,word_count
1,Genesis,ปฐมกาล,OT,1,Law,1001001,1,1,In the beginning God created the heaven and the earth.,ในเริ่มแรกนั้นพระเจ้าทรงเนรมิตสร้างฟ้าและแผ่นดินโลก,51
1,Genesis,ปฐมกาล,OT,1,Law,1001002,1,2,"And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.",แผ่นดินโลกนั้นก็ปราศจากรูปร่างและว่างเปล่าอยู่ ความมืดอยู่เหนือผิวน้ำ และพระวิญญาณของพระเจ้าปกอยู่เหนือผิวน้ำนั้น,113
1,Genesis,ปฐมกาล,OT,1,Law,1001003,1,3,"And God said, Let there be light: and there was light.","พระเจ้าตรัสว่า ""จงให้มีความสว่าง"" แล้วความสว่างก็เกิดขึ้น",57
1,Genesis,ปฐมกาล,OT,1,Law,1001004,1,4,"And God saw the light, that it was good: and God divided the light from the darkness.",พระเจ้าทรงเห็นว่าความสว่างนั้นดี และพระเจ้าทรงแยกความสว่างนั้นออกจากความมืด,75
1,Genesis,ปฐมกาล,OT,1,Law,1001005,1,5,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.",พระเจ้าทรงเรียกความสว่างนั้นว่าวัน และพระองค์ทรงเรียกความมืดนั้นว่าคืน มีเวลาเย็นและเวลาเช้าเป็นวันที่หนึ่ง,107
1,Genesis,ปฐมกาล,OT,1,Law,1001006,1,6,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","พระเจ้าตรัสว่า ""จงให้มีพื้นอากาศในระหว่างน้ำ และจงให้พื้นอากาศนั้นแยกน้ำออกจากน้ำ""",82
1,Genesis,ปฐมกาล,OT,1,Law,1001007,1,7,"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.",พระเจ้าทรงสร้างพื้นอากาศ และทรงแยกน้ำซึ่งอยู่ใต้พื้นอากาศจากน้ำซึ่งอยู่เหนือพื้นอากาศ ก็เป็นดังนั้น,99
1,Genesis,ปฐมกาล,OT,1,Law,1001008,1,8,And God called the firmament Heaven. And the evening and the morning were the second day.,พระเจ้าทรงเรียกพื้นอากาศว่าฟ้า มีเวลาเย็นและเวลาเช้าเป็นวันที่สอง,65
1,Genesis,ปฐมกาล,OT,1,Law,1001009,1,9,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","พระเจ้าตรัสว่า ""จงให้น้ำที่อยู่ใต้ฟ้ารวบรวมเข้าอยู่แห่งเดียวกัน และจงให้ที่แห้งปรากฏขึ้น"" ก็เป็นดังนั้น",103
1,Genesis,ปฐมกาล,OT,1,Law,1001010,1,10,And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,พระเจ้าทรงเรียกที่แห้งว่าแผ่นดิน และที่น้ำรวบรวมเข้าอยู่แห่งเดียวกันว่าทะเล พระเจ้าทรงเห็นว่าดี,95
